Designator,Value,Footprint,Mid X,Mid Y,Rotation,Layer
C1,12pF,C_0402_1005Metric,216.5,-82.52,90,top
C2,12pF,C_0402_1005Metric,223.5,-82.48,270,top
C3,100nF,C_0603_1608Metric,211,-53,90,top
C4,1uF,C_0603_1608Metric,206,-54,180,top
C5,100nF,C_0603_1608Metric,206,-56.5,180,top
C7,1uF,C_0402_1005Metric,229,-66.52,270,top
C8,100nF,C_0402_1005Metric,214.25,-89.73,270,top
C9,100nF,C_0402_1005Metric,212.5,-64.52,90,top
C10,100nF,C_0402_1005Metric,214,-64.52,90,top
C11,100nF,C_0402_1005Metric,232,-66.52,270,top
C12,100nF,C_0402_1005Metric,233.5,-66.48,270,top
C13,100nF,C_0402_1005Metric,211,-64.48,90,top
C14,4.7u,C_0402_1005Metric,230.5,-66.5,270,top
C15,10nF,C_0402_1005Metric,199.6375,-94.75,180,top
C16,10nF,C_0402_1005Metric,193.3875,-94.75,0,top
C19,4.7u,C_0402_1005Metric,229.75,-69.25,0,top
D1,B5819W,D_SOD-123,210.5,-60.5,0,top
D3,LED,D_0603_1608Metric,207.75,-108.5,0,top
J1,USB_B_Micro,USB_Micro-B_Molex-105017-0001,217,-54,180,top
R1,100k,R_0402_1005Metric,213.0875,-58,180,top
R2,10k,R_0402_1005Metric,205,-102.51,90,top
R3,10k,R_0402_1005Metric,199.5875,-97.25,0,top
R4,10k,R_0402_1005Metric,199.6625,-100,180,top
R5,470,R_0402_1005Metric,222.5,-61.51,270,top
R6,470,R_0402_1005Metric,225.25,-60.26,270,top
R7,470,R_0402_1005Metric,221,-61.51,270,top
R8,10k,R_0402_1005Metric,193.3375,-100,0,top
R9,10k,R_0402_1005Metric,193.3375,-97.25,0,top
R10,4.7k,R_0402_1005Metric,212.25,-75.51,90,top
R11,4.7k,R_0402_1005Metric,208.49,-73.5,0,top
R12,510,R_0402_1005Metric,207.99,-104.5,0,top
R13,47,R_0402_1005Metric,221,-79.49,270,top
SW1,SW_SPDT,SW_SPDT_PCM12,208.5,-116,0,top
U1,USBLC6-2SC6,SOT-23-6,217.325,-60.425,90,top
U2,STLQ015M33R,SOT-23-5,204,-60,180,top
U3,STM32F412RETx,LQFP-64_10x10mm_P0.5mm,220.5,-71,90,top
U4,CAT24C32WI-GT3,SOIC-8_3.9x4.9mm_P1.27mm,208.5,-78.25,90,top
Y1,Crystal_GND24,Crystal_SMD_3225-4Pin_3.2x2.5mm,219.9,-82.35,0,top
