Ref,Val,Package,PosX,PosY,Rot,Side
"C1","12pF","C_0402_1005Metric",216.500000,-82.520000,90.000000,top
"C2","12pF","C_0402_1005Metric",223.500000,-82.480000,270.000000,top
"C3","100nF","C_0603_1608Metric",211.000000,-53.000000,90.000000,top
"C4","1uF","C_0603_1608Metric",206.000000,-54.000000,180.000000,top
"C5","100nF","C_0603_1608Metric",206.000000,-56.500000,180.000000,top
"C7","1uF","C_0402_1005Metric",229.000000,-66.520000,270.000000,top
"C8","100nF","C_0402_1005Metric",214.250000,-89.730000,270.000000,top
"C9","100nF","C_0402_1005Metric",212.500000,-64.520000,90.000000,top
"C10","100nF","C_0402_1005Metric",214.000000,-64.520000,90.000000,top
"C11","100nF","C_0402_1005Metric",232.000000,-66.520000,270.000000,top
"C12","100nF","C_0402_1005Metric",233.500000,-66.480000,270.000000,top
"C13","100nF","C_0402_1005Metric",211.000000,-64.480000,90.000000,top
"C14","4.7u","C_0402_1005Metric",230.500000,-66.500000,270.000000,top
"C15","10nF","C_0402_1005Metric",199.637500,-94.750000,180.000000,top
"C16","10nF","C_0402_1005Metric",193.387500,-94.750000,0.000000,top
"C19","4.7u","C_0402_1005Metric",229.750000,-69.250000,0.000000,top
"D1","B5819W","D_SOD-123",210.500000,-60.500000,0.000000,top
"D3","LED","D_0603_1608Metric",207.750000,-108.500000,0.000000,top
"J1","USB_B_Micro","USB_Micro-B_Molex-105017-0001",217.000000,-54.000000,180.000000,top
"R1","100k","R_0402_1005Metric",213.087500,-58.000000,180.000000,top
"R2","10k","R_0402_1005Metric",205.000000,-102.510000,90.000000,top
"R3","10k","R_0402_1005Metric",199.587500,-97.250000,0.000000,top
"R4","10k","R_0402_1005Metric",199.662500,-100.000000,180.000000,top
"R5","470","R_0402_1005Metric",222.500000,-61.510000,270.000000,top
"R6","470","R_0402_1005Metric",225.250000,-60.260000,270.000000,top
"R7","470","R_0402_1005Metric",221.000000,-61.510000,270.000000,top
"R8","10k","R_0402_1005Metric",193.337500,-100.000000,0.000000,top
"R9","10k","R_0402_1005Metric",193.337500,-97.250000,0.000000,top
"R10","4.7k","R_0402_1005Metric",212.250000,-75.510000,90.000000,top
"R11","4.7k","R_0402_1005Metric",208.490000,-73.500000,0.000000,top
"R12","510","R_0402_1005Metric",207.990000,-104.500000,0.000000,top
"R13","47","R_0402_1005Metric",221.000000,-79.490000,270.000000,top
"SW1","SW_SPDT","SW_SPDT_PCM12",208.500000,-116.000000,0.000000,top
"U1","USBLC6-2SC6","SOT-23-6",217.325000,-60.425000,90.000000,top
"U2","STLQ015M33R","SOT-23-5",204.000000,-60.000000,180.000000,top
"U3","STM32F412RETx","LQFP-64_10x10mm_P0.5mm",220.500000,-71.000000,90.000000,top
"U4","CAT24C32WI-GT3","SOIC-8_3.9x4.9mm_P1.27mm",208.500000,-78.250000,90.000000,top
"Y1","Crystal_GND24","Crystal_SMD_3225-4Pin_3.2x2.5mm",219.900000,-82.350000,0.000000,top
